cow_id,lactation_number,event,calving_date
1,3,BRED,2018-06-04
1,4,BRED,2019-06-09
2,2,BRED,2018-06-04
4,2,BRED,2018-07-08
6,1,BRED,2017-10-20
6,2,BRED,2019-01-01
10,3,BRED,2018-12-28
26,3,BRED,2018-08-06
26,4,BRED,2019-08-11
42,4,BRED,2018-10-17
76,2,BRED,2018-08-29
80,3,BRED,2018-08-28
81,2,BRED,2018-10-19
83,2,BRED,2018-07-17
83,3,BRED,2019-09-17
85,2,BRED,2018-01-29
98,2,BRED,2018-01-06
107,3,BRED,2017-12-14
115,4,BRED,2018-09-03
154,3,BRED,2018-10-13
170,2,BRED,2018-04-16
181,3,BRED,2019-04-22
220,2,BRED,2018-01-10
220,3,BRED,2018-12-24
288,1,BRED,2017-11-01
297,3,BRED,2019-09-12
300,1,BRED,2017-09-29
300,2,BRED,2018-11-30
400,1,BRED,2017-10-13
401,1,BRED,2017-09-08
435,2,BRED,2018-11-22
570,2,BRED,2018-11-07
586,2,BRED,2018-11-22
595,2,BRED,2018-10-05
600,2,BRED,2018-11-05
609,1,BRED,2017-09-25
795,5,BRED,2017-10-14
835,3,BRED,2017-09-27
866,1,BRED,2017-10-22
1353,1,BRED,2019-03-03
2282,2,BRED,2018-04-06
2286,2,BRED,2017-12-17
2290,2,BRED,2017-12-25
2290,3,BRED,2018-12-25
2293,2,BRED,2018-03-11
2302,2,BRED,2018-06-12
2311,2,BRED,2018-06-12
2313,2,BRED,2018-02-12
2411,2,BRED,2017-12-27
2414,3,BRED,2018-10-11
2498,3,BRED,2018-06-24
2531,3,BRED,2018-05-11
2564,3,BRED,2018-03-12
2570,3,BRED,2018-09-08
2604,2,BRED,2018-06-19
2618,2,BRED,2018-09-02
2666,2,BRED,2018-07-23
2689,2,BRED,2018-08-12
2707,2,BRED,2018-07-18
2714,2,BRED,2018-07-02
2755,2,BRED,2018-09-11
3314,3,BRED,2018-11-19
3342,3,BRED,2018-07-05
3345,3,BRED,2018-05-26
3362,4,BRED,2019-05-09
3369,3,BRED,2018-06-13
3873,3,BRED,2018-01-27
3876,3,BRED,2018-02-07
3999,2,BRED,2018-01-17
4000,2,BRED,2018-02-05
4002,2,BRED,2018-01-16
4002,3,BRED,2019-02-23
4010,2,BRED,2018-06-03
4235,3,BRED,2018-02-12
4237,5,BRED,2019-07-28
4295,3,BRED,2018-08-01
4296,3,BRED,2018-04-12
4301,3,BRED,2018-05-29
4302,3,BRED,2018-09-27
4303,2,BRED,2017-11-16
4309,3,BRED,2018-11-26
4315,3,BRED,2018-08-13
4318,3,BRED,2018-05-27
4322,3,BRED,2019-06-27
4322,2,BRED,2018-06-23
4336,3,BRED,2018-07-25
4339,3,BRED,2018-08-20
4345,3,BRED,2019-02-13
4346,3,BRED,2018-09-18
4350,3,BRED,2018-10-31
4353,2,BRED,2017-12-18
4357,2,BRED,2017-11-29
4361,2,BRED,2018-01-05
4364,3,BRED,2019-01-05
4364,2,BRED,2017-09-27
4368,3,BRED,2019-04-06
4369,2,BRED,2018-03-18
4369,3,BRED,2019-04-29
4375,2,BRED,2017-12-21
4375,3,BRED,2018-12-25
4378,3,BRED,2019-06-02
4379,2,BRED,2018-04-27
4380,3,BRED,2019-09-06
4380,2,BRED,2018-07-19
4382,3,BRED,2019-06-21
4383,2,BRED,2018-07-02
4384,3,BRED,2019-06-11
4388,2,BRED,2018-06-03
4392,2,BRED,2018-06-10
4393,2,BRED,2018-06-07
4395,2,BRED,2018-06-06
4810,2,BRED,2018-02-15
4927,2,BRED,2018-06-02
4934,3,BRED,2019-05-20
4954,2,BRED,2018-03-08
4963,3,BRED,2019-05-03
4975,2,BRED,2018-04-13
4977,2,BRED,2018-03-29
4989,2,BRED,2018-04-22
4991,2,BRED,2018-04-23
5008,2,BRED,2018-04-25
5025,3,BRED,2019-02-22
5029,2,BRED,2018-04-08
5036,2,BRED,2018-05-10
5081,2,BRED,2018-04-12
5083,2,BRED,2018-08-11
5099,3,BRED,2019-06-10
5099,2,BRED,2018-06-14
5779,4,BRED,2018-08-14
5785,3,BRED,2018-01-21
5785,4,BRED,2019-03-03
5794,3,BRED,2017-11-22
5794,4,BRED,2019-01-05
5797,4,BRED,2018-09-12
5809,3,BRED,2017-11-27
5864,3,BRED,2018-01-04
6097,3,BRED,2019-06-29
6097,2,BRED,2018-04-19
6098,2,BRED,2018-01-01
6125,2,BRED,2018-01-02
6139,3,BRED,2018-11-12
6163,3,BRED,2019-05-22
6171,2,BRED,2017-12-20
6180,2,BRED,2018-04-12
6181,3,BRED,2019-02-08
6183,2,BRED,2018-01-04
6186,3,BRED,2018-10-21
6188,3,BRED,2019-03-05
6188,2,BRED,2018-02-10
6191,3,BRED,2018-11-29
6193,2,BRED,2017-11-13
6209,3,BRED,2018-12-31
6210,2,BRED,2018-01-06
6215,2,BRED,2018-03-03
6228,3,BRED,2019-02-08
6233,2,BRED,2018-03-07
6233,3,BRED,2019-06-12
6240,3,BRED,2019-05-04
6243,3,BRED,2019-03-25
6250,2,BRED,2018-03-18
6256,2,BRED,2018-02-07
6265,2,BRED,2018-04-09
6266,3,BRED,2019-03-19
6268,2,BRED,2018-01-27
6271,2,BRED,2018-01-09
6274,2,BRED,2018-02-27
6274,3,BRED,2019-03-06
6280,3,BRED,2019-05-16
6280,2,BRED,2018-04-11
6285,2,BRED,2018-07-09
6290,3,BRED,2019-02-01
6294,2,BRED,2018-04-09
6296,2,BRED,2018-01-13
6306,2,BRED,2018-07-03
6317,2,BRED,2018-06-23
6318,2,BRED,2018-06-16
6323,2,BRED,2018-02-25
6324,3,BRED,2019-03-11
6324,2,BRED,2018-02-25
6327,3,BRED,2019-06-12
6329,2,BRED,2018-07-16
6329,3,BRED,2019-08-04
6332,2,BRED,2018-03-11
6332,3,BRED,2019-05-26
6340,2,BRED,2018-06-16
6352,2,BRED,2018-06-22
6362,2,BRED,2018-04-21
6371,2,BRED,2018-05-15
6373,2,BRED,2018-03-25
6377,2,BRED,2018-05-11
6379,2,BRED,2018-10-01
6381,2,BRED,2018-06-12
6385,2,BRED,2018-04-30
6390,2,BRED,2018-11-25
6391,2,BRED,2018-06-23
6396,2,BRED,2018-09-16
6401,2,BRED,2018-05-16
6405,3,BRED,2019-03-20
6405,2,BRED,2018-03-19
6415,2,BRED,2018-08-21
6420,2,BRED,2018-06-05
6423,2,BRED,2018-06-02
6423,3,BRED,2019-05-26
6425,2,BRED,2018-06-22
6432,2,BRED,2018-06-29
6433,3,BRED,2019-08-11
6437,2,BRED,2018-07-06
6439,1,BRED,2017-08-03
6439,2,BRED,2019-01-08
6440,3,BRED,2019-08-07
6440,2,BRED,2018-07-27
6446,2,BRED,2018-08-08
6448,2,BRED,2018-09-04
6451,2,BRED,2018-08-10
6458,3,BRED,2019-08-23
6498,1,BRED,2017-12-09
6498,2,BRED,2019-01-15
6502,1,BRED,2017-11-26
6509,1,BRED,2017-12-24
6510,1,BRED,2017-11-27
6518,1,BRED,2017-12-04
6518,2,BRED,2018-12-01
6526,1,BRED,2017-11-30
6526,2,BRED,2019-02-14
6534,1,BRED,2017-11-29
6539,1,BRED,2017-12-09
6539,2,BRED,2019-02-10
6574,1,BRED,2018-01-08
6579,2,BRED,2019-01-07
6594,1,BRED,2017-12-24
6818,7,BRED,2018-09-06
7011,6,BRED,2018-04-03
7051,7,BRED,2019-01-28
7074,6,BRED,2018-04-07
7154,6,BRED,2018-05-21
7191,6,BRED,2018-06-12
7216,5,BRED,2017-12-02
7255,5,BRED,2017-12-07
7340,6,BRED,2018-10-06
7400,5,BRED,2017-12-17
7550,5,BRED,2018-05-25
7553,5,BRED,2018-08-16
7614,5,BRED,2018-02-20
7624,5,BRED,2018-03-24
7653,5,BRED,2018-07-27
7667,5,BRED,2017-12-12
7672,5,BRED,2018-07-24
7714,4,BRED,2017-09-29
7735,5,BRED,2018-04-12
7768,6,BRED,2019-02-21
7805,3,BRED,2019-03-27
7811,6,BRED,2019-08-11
7811,5,BRED,2018-08-05
7841,5,BRED,2018-10-16
7895,2,BRED,2018-03-17
7905,2,BRED,2018-03-05
7908,4,BRED,2017-09-03
7943,4,BRED,2018-06-30
7952,2,BRED,2018-02-20
7971,2,BRED,2018-06-02
7979,3,BRED,2019-02-04
8005,4,BRED,2018-06-07
8010,5,BRED,2018-08-31
8016,5,BRED,2018-09-17
8037,4,BRED,2017-10-22
8039,5,BRED,2018-10-03
8040,5,BRED,2018-11-20
8046,4,BRED,2018-05-30
8049,2,BRED,2018-04-23
8101,4,BRED,2018-07-03
8106,4,BRED,2017-12-25
8111,4,BRED,2017-11-03
8113,5,BRED,2019-03-16
8113,4,BRED,2018-02-12
8121,4,BRED,2018-03-15
8140,5,BRED,2019-02-04
8150,4,BRED,2017-11-17
8150,5,BRED,2019-01-04
8164,4,BRED,2018-04-07
8180,4,BRED,2018-10-22
8185,4,BRED,2018-04-08
8188,4,BRED,2018-03-22
8190,5,BRED,2018-11-10
8217,4,BRED,2018-10-01
8221,3,BRED,2017-09-17
8244,3,BRED,2017-09-05
8281,4,BRED,2018-04-14
8290,5,BRED,2019-01-29
8298,3,BRED,2017-11-17
8306,4,BRED,2018-09-22
8313,4,BRED,2018-06-28
8313,5,BRED,2019-08-18
8318,4,BRED,2018-05-08
8322,4,BRED,2018-02-12
8329,4,BRED,2018-08-25
8337,4,BRED,2018-06-10
8352,3,BRED,2017-10-04
8391,4,BRED,2018-06-25
8400,4,BRED,2018-07-24
8401,4,BRED,2018-10-03
8401,5,BRED,2019-09-29
8470,5,BRED,2019-06-08
8479,3,BRED,2018-01-06
8487,3,BRED,2017-12-02
8500,5,BRED,2019-06-18
8510,4,BRED,2018-07-25
8538,3,BRED,2017-11-22
8540,3,BRED,2017-10-26
8556,4,BRED,2018-11-02
8564,4,BRED,2018-10-22
8578,3,BRED,2017-10-23
8581,4,BRED,2018-11-16
8590,3,BRED,2018-03-02
8591,3,BRED,2018-02-28
8604,4,BRED,2018-10-17
8606,3,BRED,2017-10-03
8611,4,BRED,2018-07-20
8614,2,BRED,2017-08-22
8614,3,BRED,2018-12-22
8615,4,BRED,2018-08-13
8615,5,BRED,2019-09-07
8623,4,BRED,2018-12-16
8627,3,BRED,2018-01-22
8628,3,BRED,2018-01-19
8629,3,BRED,2017-10-22
8635,3,BRED,2018-05-06
8640,3,BRED,2017-10-05
8648,4,BRED,2018-10-23
8650,4,BRED,2018-10-08
8655,3,BRED,2017-12-09
8668,3,BRED,2018-05-22
8669,3,BRED,2017-12-06
8678,3,BRED,2017-11-03
8704,4,BRED,2018-11-05
8707,4,BRED,2019-06-12
8707,3,BRED,2018-05-19
8711,3,BRED,2018-07-08
8723,2,BRED,2017-09-03
8724,4,BRED,2019-04-24
8731,2,BRED,2017-09-30
8734,4,BRED,2019-02-26
8739,4,BRED,2018-12-18
8750,3,BRED,2017-12-02
8750,4,BRED,2019-01-11
8754,3,BRED,2018-03-01
8772,3,BRED,2017-11-14
8778,4,BRED,2019-03-17
8779,3,BRED,2017-11-28
8779,4,BRED,2019-01-26
8781,3,BRED,2017-12-21
8795,3,BRED,2017-12-17
8797,3,BRED,2018-02-07
8799,3,BRED,2018-02-11
8801,4,BRED,2019-03-15
8806,4,BRED,2019-08-10
8808,3,BRED,2018-02-11
8811,4,BRED,2018-12-02
8817,3,BRED,2018-03-21
8825,3,BRED,2018-03-03
8826,3,BRED,2018-01-16
8827,3,BRED,2018-06-27
8830,3,BRED,2018-01-09
8838,3,BRED,2017-12-24
8851,2,BRED,2017-10-17
8854,4,BRED,2019-03-10
8865,3,BRED,2018-05-11
8868,3,BRED,2018-04-01
8871,3,BRED,2018-03-05
8871,4,BRED,2019-03-10
8880,3,BRED,2018-03-23
8888,3,BRED,2018-02-25
8898,3,BRED,2018-04-08
8912,3,BRED,2018-02-18
8926,4,BRED,2019-04-22
8928,4,BRED,2019-09-12
8929,3,BRED,2018-01-10
8930,3,BRED,2018-02-11
8944,3,BRED,2018-05-22
8945,3,BRED,2018-01-21
8950,3,BRED,2018-02-01
8950,4,BRED,2019-01-19
8966,2,BRED,2017-07-29
8975,3,BRED,2018-05-22
8976,3,BRED,2018-04-06
8985,4,BRED,2019-01-13
8989,3,BRED,2018-08-08
8991,4,BRED,2019-03-31
8991,3,BRED,2018-04-02
8996,3,BRED,2018-08-17
9013,3,BRED,2018-06-07
9014,3,BRED,2018-05-17
9014,4,BRED,2019-06-23
9016,3,BRED,2018-06-11
9018,4,BRED,2019-05-25
9037,3,BRED,2018-06-10
9040,3,BRED,2018-08-22
9044,3,BRED,2018-03-25
9072,4,BRED,2019-06-13
9072,3,BRED,2018-06-08
9075,3,BRED,2018-05-16
9075,4,BRED,2019-08-14
9079,4,BRED,2019-09-25
9086,3,BRED,2018-09-09
9098,3,BRED,2018-09-21
9099,3,BRED,2018-07-01
9100,3,BRED,2018-07-29
9102,3,BRED,2018-08-04
9108,3,BRED,2018-07-21
9110,3,BRED,2018-08-28
9123,2,BRED,2017-07-25
9131,4,BRED,2019-06-19
9133,3,BRED,2018-08-18
9134,3,BRED,2018-09-19
9138,3,BRED,2018-06-22
9146,4,BRED,2019-07-21
9148,3,BRED,2018-08-15
9148,4,BRED,2019-08-13
9149,3,BRED,2018-10-02
9153,3,BRED,2018-12-08
9156,3,BRED,2018-07-16
9160,3,BRED,2018-07-04
9161,3,BRED,2018-07-12
9161,4,BRED,2019-07-28
9162,3,BRED,2019-01-09
9171,3,BRED,2018-10-22
9174,3,BRED,2018-07-11
9176,4,BRED,2019-09-14
9178,3,BRED,2018-06-02
9181,4,BRED,2019-08-11
9181,3,BRED,2018-06-30
9188,3,BRED,2018-10-23
9201,3,BRED,2019-04-14
9203,3,BRED,2018-11-23
9204,3,BRED,2018-09-01
9205,2,BRED,2017-12-12
9210,3,BRED,2018-10-23
9211,2,BRED,2017-10-03
9213,2,BRED,2017-08-30
9217,3,BRED,2018-07-25
9219,2,BRED,2017-10-22
9228,3,BRED,2018-07-11
9228,4,BRED,2019-08-05
9231,4,BRED,2019-06-08
9244,3,BRED,2018-07-30
9248,3,BRED,2018-09-10
9256,3,BRED,2018-12-04
9257,3,BRED,2018-11-01
9260,3,BRED,2018-10-07
9294,3,BRED,2018-11-04
9299,3,BRED,2018-08-07
9306,3,BRED,2018-09-25
9312,3,BRED,2018-08-31
9323,4,BRED,2019-07-19
9327,3,BRED,2018-10-28
9334,3,BRED,2018-11-05
9335,3,BRED,2018-09-03
9338,3,BRED,2018-09-20
9339,2,BRED,2017-10-06
9344,2,BRED,2018-02-21
9345,2,BRED,2018-05-15
9350,3,BRED,2018-09-22
9357,2,BRED,2017-11-22
9358,3,BRED,2019-03-28
9368,2,BRED,2017-10-09
9369,3,BRED,2018-11-08
9371,3,BRED,2018-11-04
9372,2,BRED,2018-01-30
9373,2,BRED,2017-11-10
9374,2,BRED,2017-10-13
9377,3,BRED,2018-11-28
9380,3,BRED,2019-06-15
9380,2,BRED,2018-05-15
9386,3,BRED,2018-12-23
9388,2,BRED,2017-12-15
9391,3,BRED,2019-02-23
9392,2,BRED,2018-01-25
9392,3,BRED,2019-03-08
9394,2,BRED,2017-11-29
9394,3,BRED,2019-01-27
9395,1,BRED,2017-11-15
9397,3,BRED,2018-11-26
9402,2,BRED,2018-06-20
9411,2,BRED,2017-12-20
9419,2,BRED,2018-01-06
9419,3,BRED,2019-03-23
9425,3,BRED,2019-07-05
9427,2,BRED,2018-05-23
9427,3,BRED,2019-05-26
9429,3,BRED,2018-11-16
9431,2,BRED,2018-05-20
9437,2,BRED,2018-01-24
9441,2,BRED,2018-02-18
9442,2,BRED,2017-12-03
9443,2,BRED,2018-07-24
9445,2,BRED,2018-02-26
9446,2,BRED,2018-08-25
9454,2,BRED,2018-01-26
9456,2,BRED,2017-11-25
9471,2,BRED,2017-11-28
9483,3,BRED,2019-01-18
9487,3,BRED,2019-05-07
9488,3,BRED,2018-11-16
9494,2,BRED,2018-02-02
9495,2,BRED,2018-01-21
9505,3,BRED,2019-05-11
9507,2,BRED,2017-12-17
9510,2,BRED,2018-03-13
9513,3,BRED,2018-12-12
9514,2,BRED,2018-02-19
9519,2,BRED,2017-12-26
9523,2,BRED,2018-04-04
9524,2,BRED,2018-01-01
9531,3,BRED,2019-02-15
9531,2,BRED,2018-02-17
9532,3,BRED,2019-04-24
9534,2,BRED,2018-06-08
9539,2,BRED,2018-01-28
9540,2,BRED,2018-06-03
9540,3,BRED,2019-05-15
9543,2,BRED,2018-05-05
9543,3,BRED,2019-04-25
9545,2,BRED,2018-05-01
9547,3,BRED,2019-05-11
9549,2,BRED,2018-06-14
9553,3,BRED,2018-12-17
9555,2,BRED,2018-05-23
9556,2,BRED,2018-01-14
9558,2,BRED,2018-05-04
9562,2,BRED,2018-02-26
9562,3,BRED,2019-05-18
9567,3,BRED,2018-12-24
9571,2,BRED,2018-01-15
9578,3,BRED,2019-01-27
9581,2,BRED,2018-01-11
9584,2,BRED,2018-02-14
9596,2,BRED,2018-03-31
9596,3,BRED,2019-06-18
9599,2,BRED,2018-02-03
9603,2,BRED,2018-08-21
9605,3,BRED,2019-04-17
9609,3,BRED,2019-02-19
9610,3,BRED,2019-04-02
9612,2,BRED,2018-03-26
9615,3,BRED,2019-03-10
9616,3,BRED,2019-05-08
9616,2,BRED,2018-04-08
9618,2,BRED,2018-04-04
9618,3,BRED,2019-04-03
9624,3,BRED,2019-04-18
9627,2,BRED,2018-03-05
9630,2,BRED,2018-04-07
9634,3,BRED,2019-04-28
9636,2,BRED,2018-08-11
9637,2,BRED,2018-03-12
9638,2,BRED,2018-07-25
9642,2,BRED,2018-04-25
9644,2,BRED,2018-02-01
9644,3,BRED,2019-03-25
9647,2,BRED,2018-08-15
9648,2,BRED,2018-04-06
9653,2,BRED,2018-03-02
9656,3,BRED,2019-04-08
9657,2,BRED,2018-04-01
9661,2,BRED,2018-02-12
9662,2,BRED,2018-06-02
9667,3,BRED,2019-08-11
9667,2,BRED,2018-08-03
9670,3,BRED,2019-04-04
9677,2,BRED,2018-06-06
9678,2,BRED,2018-04-28
9679,2,BRED,2018-05-09
9691,2,BRED,2018-08-05
9693,3,BRED,2019-04-01
9694,2,BRED,2018-04-21
9695,2,BRED,2018-05-10
9696,3,BRED,2019-02-18
9701,3,BRED,2019-05-21
9701,2,BRED,2018-05-29
9705,2,BRED,2018-04-23
9719,2,BRED,2018-10-27
9722,2,BRED,2018-11-19
9725,2,BRED,2018-07-08
9731,2,BRED,2018-09-23
9734,2,BRED,2018-05-04
9735,2,BRED,2018-05-10
9735,3,BRED,2019-06-15
9739,3,BRED,2019-06-02
9740,3,BRED,2019-05-31
9741,2,BRED,2018-08-22
9744,2,BRED,2018-04-22
9744,3,BRED,2019-07-02
9746,2,BRED,2018-11-22
9749,2,BRED,2018-06-29
9749,3,BRED,2019-06-23
9750,2,BRED,2018-06-26
9750,3,BRED,2019-07-21
9755,2,BRED,2018-04-22
9756,2,BRED,2018-09-17
9758,2,BRED,2018-04-20
9759,2,BRED,2018-11-05
9760,2,BRED,2018-10-11
9761,2,BRED,2018-08-23
9767,2,BRED,2018-04-24
9774,2,BRED,2018-05-02
9780,2,BRED,2018-05-28
9781,2,BRED,2018-05-30
9781,3,BRED,2019-07-31
9784,3,BRED,2019-07-03
9790,2,BRED,2018-06-24
9792,3,BRED,2019-05-11
9793,1,BRED,2017-11-29
9794,2,BRED,2018-06-30
9797,2,BRED,2018-10-10
9799,2,BRED,2018-05-10
9799,3,BRED,2019-07-14
9807,2,BRED,2018-06-14
9807,3,BRED,2019-07-08
9812,2,BRED,2018-07-13
9814,2,BRED,2018-06-12
9818,2,BRED,2018-10-01
9821,3,BRED,2019-04-23
9822,3,BRED,2019-07-11
9823,3,BRED,2019-05-06
9833,1,BRED,2017-06-29
9835,2,BRED,2018-05-21
9837,2,BRED,2018-08-12
9838,2,BRED,2018-07-23
9841,3,BRED,2019-07-06
9843,3,BRED,2019-05-16
9845,2,BRED,2018-08-03
9846,2,BRED,2018-06-14
9847,2,BRED,2018-08-30
9848,2,BRED,2018-06-11
9853,1,BRED,2017-11-16
9856,2,BRED,2018-08-09
9859,3,BRED,2019-07-07
9864,2,BRED,2018-08-10
9864,3,BRED,2019-08-30
9866,2,BRED,2018-08-27
9868,2,BRED,2018-09-02
9878,2,BRED,2018-09-19
9879,2,BRED,2018-08-13
9879,3,BRED,2019-09-05
9880,1,BRED,2017-11-19
9880,2,BRED,2019-01-03
9884,2,BRED,2018-07-05
9885,1,BRED,2017-10-27
9886,2,BRED,2018-11-09
9894,2,BRED,2018-10-03
9895,2,BRED,2018-09-30
9896,1,BRED,2017-12-16
9896,2,BRED,2019-01-05
9902,1,BRED,2017-11-28
9903,3,BRED,2019-07-29
9904,2,BRED,2018-08-15
9907,2,BRED,2018-07-28
9909,2,BRED,2018-09-26
9912,2,BRED,2018-09-09
9914,2,BRED,2018-11-20
9915,2,BRED,2018-08-09
9918,2,BRED,2018-08-24
9932,2,BRED,2018-08-11
9936,2,BRED,2018-08-11
9938,1,BRED,2017-10-10
9956,1,BRED,2017-09-03
9957,3,BRED,2019-07-18
9965,1,BRED,2017-11-18
9965,2,BRED,2018-12-09
9968,1,BRED,2017-11-29
9968,2,BRED,2019-01-11
9970,1,BRED,2018-01-01
9971,2,BRED,2018-09-15
9973,3,BRED,2019-08-04
9978,1,BRED,2018-01-01
9980,1,BRED,2017-11-16
9980,2,BRED,2018-12-05
9981,1,BRED,2018-02-25
9981,2,BRED,2019-02-11
9983,1,BRED,2018-02-01
9983,2,BRED,2019-04-12
9984,2,BRED,2018-11-02
9986,1,BRED,2017-10-26
9987,2,BRED,2018-10-03
9988,2,BRED,2018-10-18
9989,2,BRED,2018-09-29
9994,2,BRED,2018-09-12
9994,3,BRED,2019-09-05
9997,2,BRED,2018-09-09
10000,2,BRED,2018-09-18
10444,6,BRED,2017-12-16
10485,5,BRED,2017-12-25
10609,5,BRED,2018-05-30
